"Kizhi Porotta",16.99
"Beef Kizhi Porotta",21.99
"Kizhi Biriyani",15.99
"Fish Pollichathu",19.99
"Beef Ullarthu",21.99
"Karivepila Chicken",12.99
"Kallappam",1.99
"Chicken Egg Kothu Porotta",14.99
"Porotta",2.99
"Achayan's Fish Curry (King Fish)",14.99
"Kethal Chicken Fry",17.99
"Beef Perattu",19.99
"Thattu Dosa with Egg Omlette",13.99
"Tattu Dosa (2 piece)",2.99
"Kandari Tawa Fish",12.99
"Kandari Chicken Fry",12.99
"Kandari Chicken Masala",13.99
"Kandari Paneer",11.99
"Chicken Kondattam",12.99
"Gobi Kondattam",11.99
"Chicken Mappas",13.99
"Fish Mappas",14.99
"Fish Moilee",14.99
"Malabar Veg Kuruma",11.99
"Chettinad Veg Curry",11.99
"Chicken Chettinad Fry",13.99
"Goat Chettinad Fry",14.99
"Chettinad Chicken Biriyani",15.99
"Chettinad Goat Biriyani",17.99
"Beef Chettinadu Curry",19.99
"Alleppy Shrimp Curry",15.99
"Paragon Chicken Biriyani (Kaima Rice)",15.99
"Meghana Biriyani",15.99
"Ambur Goat Biriyani",17.99
"Malabar Chicken Biriyani",15.99
"Malabar Goat Biriyani",17.99
"Malabar Fish Biriyani",17.99
"Goat Malabar Curry",14.99
"Malabar Chicken Curry",13.99
"Kerala Black Chana Curry",11.99
"Kerala Beef Fry",21.99
"Bengaluru Ghee Podi Dosa",11.99
"Mysore Masala Dosa",11.99
"Onion Rawa Dosa",11.99
"Podi Dosa",11.99
"Ghee Roast",11.99
"Masala Dosa",11.99
"Paneer Dosa",12.99
"Tawa Chicken Dosa",13.99
"Idly (3) with Sambar and Chutney",7.99
"Chole Bhature",11.99
"Aloo Pappadi Chaat",8.99
"Aloo Tikki Chaat",8.99
"Kachori Chaat",8.99
"Dahi Bhel Chaat",8.99
"Dahi Puri",9.99
"Bhel Puri",8.99
"Sev Puri",8.99
"Samosa Chaat",8.99
"Bombay Vada Pav",9.99
"Samosa Pav",9.99
"Pav Bhaji",9.99
"Dabeli",9.99
"Dilkush",3.49
"Cut Mirchi",9.99
"Chilli Idly",10.99
"Channa Masala",10.99
"Dal Fry",10.99
"Paneer Saag Wala",12.99
"Paneer Ambala",12.99
"Paneer Kadai",12.99
"Paneer Tikka Masala",12.99
"Paneer Butter Masala",12.99
"Afghani Chicken Biriyani",15.99
"Veg Biriyani",13.99
"Egg Biriyani",14.99
"Masala Chai",2.49
"Mango Lassi",5.00
"Chicken 65",12.99
"Chicken 777",12.99
"Gobi Manchurian",11.99
"Chicken Manchurian",12.99
"Chilli Paneer",11.99
"Chilli Chicken",12.99
"Chicken Tikka Masala",13.99
"Butter Chicken Masala",13.99
"Chicken Shawarma",12.99
"Chicken Pepper Roast",13.99
"Goat Pepper Roast",14.99
"Goat Spinach",14.99
"Spinach Chicken",13.99
"Shrimp Pepper Fry",14.99
"Shrimp Roast",15.99
"Egg Roast",12.99
"Beef Roast",19.99
"Beef Pepper Masala",19.99
"Curry Leaf Rice",9.99
"Lemon Rice",9.99
"Tomato Rice",9.99
"Cheese Pyramid Dosa",11.99
"Spring Dosa",11.99
"Butter Chicken Dosa",13.99
"Kids Masala Dosa",7.99
"Kids Cheese Dosa",7.99
"Kids Nutella Dosa",7.99
"Onion Beetroot Pakoda",9.99
"Samosa",5.99
"Bang Bang Fish",12.99
"Ginger Shrimp",14.99
"Grilled Paneer with Vegetables",11.99
"Veg Fried Rice",10.99
"Egg Fried Rice",11.99
"Chicken Fried Rice",12.99
"Shrimp Fried Rice",13.99
"Mix Meat Fried Rice",14.99
"Veg Noodles",10.99
"Egg Noodles",11.99
"Chicken Noodles",12.99
"Shrimp Noodles",13.99
"Mix Meat Noodles",14.99
"Bombay Sandwich",9.99
"Vegetable Panini",8.99
"Paneer Tikka Panini",9.99
"Chicken Tikka Panini",10.99
"Chilli Chicken Panini",10.99
"Cakeworld Special Chicken Sandwich",10.99
"Paneer Tikka Pizza",10.99
"Chilli Chicken Pizza",11.99
"Chicken Tikka Pizza",11.99
"Naan",1.99
"Butter Naan",2.49
"Garlic Naan",2.99
"Pav Bun",2.99
"Vegetable Puffs",2.99
"Paneer Puffs",2.99
"Egg Puffs",3.49
"Chicken Puff",3.49
"Chilli Chicken Roll",3.49
"Coconut Bun",2.99
"Cream Bun",3.49
"Rose Milk",5.00
"Cheese Sandwich",7.99
"Cheese Pizza",9.99
"Vegetable Pizza",9.99
"Sandwich Bread",2.99
"Pastry Per Piece",3.99
"Special Pastry Per Piece",4.49
"Kulfi Per Piece",2.99
"Jam Rolls",2.99
"Cup Cakes",2.99
"Coffee",2.99
"Soda",1.49
"Water",1.00
